filename,PWV_mm,T_eff_K,T_moy_K,T_min_K,z_moy_m,std_vert_m,T_sky_K,Transmission
01050314_geop5000.parquet,1.105327126737867,259.7407683292829,258.782024258038,274.04999999999995,6584.797574196197,1314.0316363794504,8.386102499543417,0.967640650218602
01050318_geop5000.parquet,1.3708662033679262,261.48597871110945,259.9831356677923,275.34,6441.346033433376,1309.2904607948856,10.044615755832682,0.9615121975638468
01050400_geop5000.parquet,1.4669624663757943,262.51981006062465,263.200901177188,268.22,6188.634841766916,1360.3473750451446,11.078365820864274,0.9577253461558045
01050414_geop5000.parquet,0.9589939132773784,258.9641402497716,260.70311511435426,272.53,7010.7329972916505,1751.832395198686,7.1385003780116065,0.972483345466938
01050418_geop5000.parquet,1.5577342627329187,260.75254926734067,260.1009898448734,275.44,6771.631538600716,1453.456039434951,10.739398937387211,0.9588292986343977
01050423_geop5000.parquet,3.47324133989527,260.3381741556035,259.6947844113309,270.92,6713.282338300361,1249.1577885608187,22.20791901018883,0.9148714289097314
01050514_geop5000.parquet,5.029026421175819,263.7172745860282,263.91046434219163,271.7,6206.907131561674,1162.1408322824725,34.55700543246743,0.8693313086654186
01050516_geop5000.parquet,4.93998030844525,263.87375661693386,264.31886321308144,271.39,6144.147106463638,1038.758089931855,34.14666432272148,0.8708430787231676
01050518_geop5000.parquet,6.483691155096311,262.37646526989505,261.60767712821524,270.32,6317.7410256726935,1135.8619739561357,43.66447291647536,0.8342293599573432
01120719_geop5000.parquet,0.5537386399790566,268.32163110383834,267.74804564248166,278.89,5812.203287044275,704.0792821349273,5.3027713495710085,0.9798873001500984
01120814_geop5000.parquet,2.442382894049765,267.0731074165166,266.40864877309804,279.92,6093.306755010895,836.0375547721394,16.957706974855654,0.9363313403261102
01120818_geop5000.parquet,2.223284393934445,263.7355782745276,263.7817817603916,279.51,6525.963074954105,992.969530583191,14.837465636885398,0.9436634457921285
01120913_geop5000.parquet,1.408863462267823,262.9354630091732,262.6240360528609,276.7,6545.579733394683,1318.0489489372635,9.984320016183801,0.9619675651910111
01121013_geop5000.parquet,0.6345950776847618,267.0251284176508,266.3892688436462,275.44,5878.609364001278,870.9215974452914,5.827524237036743,0.9778740534652899
01121016_geop5000.parquet,0.5572381884607037,268.51927384696387,267.8790885846269,280.16,5873.130873447269,978.9935106604008,5.314720618001806,0.9798710182109627
01121019_geop5000.parquet,0.3494999594643304,269.2797719994423,268.69866910684163,277.54,5743.333056040723,737.2329843264025,4.044892949478518,0.984615913767825
01121114_geop5000.parquet,0.5093557395725283,265.1091896786526,264.4646147672616,279.9,6468.833086209549,1174.688865525396,4.790401911648645,0.9816940479737912
01121219_geop5000.parquet,0.545231543987699,265.16437948167084,265.3786157636831,280.09,6484.405508253829,1146.2363641981565,4.963881097712651,0.9810575446974754
01121313_geop5000.parquet,0.4587303712128885,257.40771958368435,257.7008356240464,277.0,7185.551501809139,1368.0150740182123,4.355109737663869,0.9830223770900786
01121318_geop5000.parquet,0.6721174100371978,262.2353310009942,263.26172772897974,277.42,6677.82722710203,1292.0974306319715,5.658943535121921,0.9782531335496063
02110315_geop5000.parquet,1.0326614187097811,264.3207814601397,264.01175221244785,274.54999999999995,5940.824778755214,561.846117530271,8.331872241547046,0.9682475628114761
98082115_geop5000.parquet,4.8125968477138095,267.40679074980613,267.63899556623505,275.17999999999995,6272.501231601366,1109.4404411167095,31.90561586422686,0.8809533729262624
98083121_geop5000.parquet,0.6593272034567655,256.3149338890061,255.17354482604892,273.75,7611.919541083899,1272.470497570819,5.254768670857209,0.9795611239426653
98100917_geop5000.parquet,0.1111917385183046,260.7376750872483,260.8675532222045,277.14,6768.395385804915,1642.4415214408796,2.5643740161089745,0.9899753523105768
98101003_geop5000.parquet,0.7307448844605128,261.24234889164813,260.3906428970013,268.62,6171.599370217108,1080.4145362399267,6.418559894756401,0.9751991837209124
98101103_geop5000.parquet,0.960375573272332,259.4339483117537,260.28037658675487,267.64,6440.224054951726,1110.6777067188384,7.605868266089791,0.9705664118599835
98101116_geop5000.parquet,0.5043385391386697,260.20200738109463,259.6598199738929,274.28,6462.328464550816,933.9985258575296,4.85339202301488,0.981197690676909
98101202_geop5000.parquet,1.2928111100915631,258.0907351458404,257.95942815220104,268.58,6517.733667044993,1225.4807752073402,9.56470499346748,0.9628728261761325
98101218_geop5000.parquet,0.3523425257634741,261.83489420282365,261.4884013543952,274.25,6424.638153787748,1386.1539288841602,3.9591726847652375,0.9847113739464493
98102414_geop5000.parquet,2.725289739534407,259.39585913564576,259.9830757750781,266.34,6286.249890215571,929.6510094426316,18.176924981101784,0.929880822559279
98102512_geop5000.parquet,0.1922549257042962,261.95617241857593,263.71803499023025,265.83,6042.745626221215,1300.01350320736,2.985717215953863,0.988393764329741
98102521_geop5000.parquet,0.6111192814658262,260.5054553667899,259.81813116970005,266.34,5748.78500917713,718.1603667143949,5.457886733790612,0.9788168013004169
98112405_geop5000.parquet,0.6531080626915381,264.60842375539846,266.6805320626226,267.97,5938.683492172169,1304.3741556837117,6.041330148296355,0.9769785521629181
98112411_geop5000.parquet,0.1647236696072071,262.9358151744473,262.4114830585436,267.13,5878.5663834681845,1090.3469821911676,2.741275008398687,0.9893267978143456
98112416_geop5000.parquet,0.3761218720799509,266.7187621592193,265.4083528099641,274.33,5721.153715004057,876.3824805623186,4.261617839261168,0.9837474074205453
98112423_geop5000.parquet,1.7295062133359895,265.7403516679401,264.9540094791913,269.88,5434.80169613243,468.6192064756328,14.42855862217137,0.9454377932476511
98112516_geop5000.parquet,0.2597078967697059,267.71196305029184,266.8121319676763,276.57,5703.155084117002,954.7720852897796,3.523288213241258,0.9865135040880247
98112521_geop5000.parquet,1.765694522159199,265.6442158433574,265.3666724258887,273.71,5730.610456758618,542.9099013314234,13.53985755917477,0.9487716711129806
98112615_geop5000.parquet,0.8155296830248617,267.72878660596587,267.19861125944857,276.91,5734.714134350415,621.4890181941412,7.0576597318849394,0.9733285777079761
98112621_geop5000.parquet,1.0001594792195585,268.6395935499983,267.46590154178404,276.04,5659.141136762602,573.4613757633649,8.316460622169364,0.9687244248982744
98112715_geop5000.parquet,0.9859540138846654,269.3703968414543,268.9451892263562,273.92999999999995,5560.262529794391,786.6753001321499,8.440777272210799,0.9683731319375856
98112720_geop5000.parquet,0.7777974231045426,266.36024175424245,264.83109426018194,275.17,5925.245153994677,918.25654202264,6.67764464759986,0.9747060871620933
98120523_geop5000.parquet,0.9129411741966038,268.0150944548122,267.21429799953074,271.73,5571.936825471299,672.2857942722706,7.893244895349204,0.970280004502718
98120623_geop5000.parquet,0.7493528321755857,266.4194102815655,269.285360661089,268.77,5538.401652722538,984.051644967768,6.8338469228740575,0.9741248886906996
98120705_geop5000.parquet,0.3091238321315432,268.806492387505,269.85869078664587,271.85,5715.811603642032,966.3297410540988,3.8020919064314005,0.9855492346654094
